Title,Location,Price,Area,Number of rooms
Studio Berlijnplein,3541 CM Utrecht (Leidsche Rijn-Centrum),€633,30 m²,1
Apartment Porporastraat,8031 HS Zwolle (Holtenbroek II),"€1,090",55 m²,2
Apartment Westvest,2611 AZ Delft (Centrum-Zuidwest),€885,45 m²,2
Apartment Govert Flinckstraat,1074 CG Amsterdam (Oude Pijp),"€2,000",70 m²,3
Apartment Tinelstraat 18 A,"5654 LT Eindhoven (Bennekel-West, Gagelbosch)","€1,400",50 m²,2
Apartment Isingstraat 125,2522 JP Den Haag (Laakkwartier-Oost),"€1,300",70 m²,3
Apartment Boterpotplein,5554 CS Valkenswaard (Centrum),"€1,275",72 m²,2
Apartment Johan de Wittlaan,6828 XH Arnhem (Statenkwartier),"€1,250",121 m²,3
Apartment Amendijk,3829 DS Hooglanderveen (Hoekveen e.o.),€895,66 m²,2
Apartment Stadsring,3811 HM Amersfoort (Smallepad e.o.),"€1,150",61 m²,2
Apartment Abraham Kuyperlaan,3038 PN Rotterdam (Bergpolder),"€1,095",80 m²,3
Apartment Chabotlaan,3055 AG Rotterdam (Molenlaankwartier),"€1,600",83 m²,3
Apartment Brouwersgracht,2512 ER Den Haag (Zuidwal),"€1,250",50 m²,2
Apartment Middenweg 113 A3,1098 AJ Amsterdam (Middenmeer),"€1,900",77 m²,3
Apartment Van Speijkstraat 2 12,"3572 XC Utrecht (Zeeheldenbuurt, Hengeveldstraat en omgeving)",€725,25 m²,1
House De Vogelweide,7609 AC Almelo (Kanaalzijde),€950,110 m²,5
House Erve Wolbert,7577 NS Oldenzaal (De Graven Es),"€1,095",115 m²,5
House Denekamperstraat,7577 PB Oldenzaal (Bekspring),"€1,395",159 m²,5
Apartment Grotestraat,7607 CD Almelo (Binnenstad Noord),€795,100 m²,3
House Graaf Janstraat 2,1941 KG Beverwijk (Meerplein),"€1,225",55 m²,2
Apartment Tuigerstraat,1033 PH Amsterdam (Tuindorp Oostzaan),"€1,400",44 m²,3
House Parcivalring,5221 LA Den Bosch (De Haverleij),"€1,600",180 m²,7
Apartment Danckertsstraat,2517 TJ Den Haag (Stadhoudersplantsoen),"€1,150",65 m²,3
Apartment Volderhof,5611 AK Eindhoven (Binnenstad),"€1,250",50 m²,3
Apartment Jan van Galenstraat 173 3,1056 BS Amsterdam (Van Galenbuurt),"€2,500",85 m²,6
Apartment Rosa Spierlaan,1187 PE Amstelveen (Betsy Perkbuurt),"€1,550",73 m²,3
