Title,Location,Price,Area,Number of rooms
Apartment Noorderhavenkade 56 B03,3038 XK Rotterdam (Bergpolder),"€1,750",80 m²,2
Apartment Groenhazengracht,2311 VT Leiden (Academiewijk),"€1,835",90 m²,4
Studio Vestestraat,2312 SV Leiden (Pancras-Oost),€825,32 m²,1
Studio Markt,6211 CL Maastricht (Binnenstad),€925,37 m²,2
Apartment Eerste Constantijn Huygensstraat,1054 BR Amsterdam (Helmersbuurt),"€2,000",60 m²,2
Apartment Vinkenstraat,1506 CM Zaandam (Oud West),"€1,250",44 m²,2
Apartment Langenhorst,3085 HJ Rotterdam (Zuidwijk),€995,70 m²,3
Apartment Van Vollenhovenstraat,3016 BE Rotterdam (Nieuwe Werk),"€1,750",70 m²,3
Apartment Jan van Zutphenstraat,1069 RS Amsterdam (Osdorp-Midden),"€2,500",110 m²,3
Apartment Sweelincklaan,4837 BB Breda (Ruitersbos),"€1,245",80 m²,3
Apartment Stratumseind,5611 ER Eindhoven (Binnenstad),"€1,095",35 m²,2
House Renate Rubinsteinlaan 5,1187 WS Amstelveen (Schrijversbuurt),"€3,750",199 m²,5
Room Laan van Nieuw-Oost-Indië 34 A,2593 BT Den Haag (Bezuidenhout-Oost),€400,24 m²,1
Apartment Japieserf,2801 TR Gouda (Raam e.o.),"€1,300",70 m²,4
Apartment Hinthamereinde,5211 PP Den Bosch (De Hofstad),"€1,135",62 m²,3
Apartment Marnixstraat,1016 TB Amsterdam (Jordaan),"€2,500",95 m²,3
House Nessenwei,8618 NM Oosthem (Verspreide huizen-Oosthem),€900,230 m²,5
Apartment Mijdrechtstraat 3,2515 SK Den Haag (Rivierenbuurt-Noord),€850,50 m²,2
Apartment Nieuwe Sint Jansstraat,9711 VH Groningen (Binnenstad-Oost),"€1,195",55 m²,2
House Housestraat,7207 RX Zutphen (Looërenk en Woud),"€1,695",161 m²,6
Studio Tollensstraat,2321 XJ Leiden (Haagweg-Noord),€565,18 m²,2
Apartment Veldmaarschalk Montgomerylaan,5612 BE Eindhoven (Gildebuurt),"€1,500",55 m²,2
Room Johan de Wittlaan,6828 WJ Arnhem (Arnhemse Broek),€495,20 m²,1
Room Johan de Wittlaan,6828 WL Arnhem (Arnhemse Broek),€425,20 m²,2
Apartment Valeriusstraat 121 H,1075 ER Amsterdam (Willemspark),"€4,500",145 m²,4
Room van Heurnstraat,5211 ZL Den Bosch (Het Zand),€420,10 m²,1
Apartment Zegenstraat,3082 XW Rotterdam (Oud Charlois),€650,16 m²,1
Room Moerkerkestraat,3081 RL Rotterdam (Tarwewijk),€650,18 m²,1
House Dammestraat,5628 NM Eindhoven (Tempel),"€1,750",180 m²,5
Apartment Beukenweg,1091 KE Amsterdam (Oosterparkbuurt),"€1,800",53 m²,2
Apartment Markt,7551 CG Hengelo (Binnenstad-Centrum),€650,28 m²,2
Apartment Nieuwstraat,7605 AG Almelo (Wonde en omgeving),€650,40 m²,1
Apartment Groenhazengracht,2311 VT Leiden (Academiewijk),"€1,835",90 m²,4
Apartment Wisselstraat 30,3551 WG Utrecht (2e Daalsebuurt en omgeving),"€1,650",48 m²,2
Apartment De Wittenkade 31 R2,1052 AB Amsterdam (Staatsliedenbuurt),"€1,750",65 m²,2
House Coba Ritsemastraat,7556 JP Hengelo (Hengelose Es-Noord),"€1,370",146 m²,6
Apartment Burgemeester Leenstraat,7242 AA Lochem (Zuiderenk),€695,45 m²,2
Apartment Renswoudelaan,2546 XE Den Haag (Leyenburg),"€1,395",75 m²,3
Studio Haparandaweg,1013 BD Amsterdam (Houthavens),"€1,250",32 m²,1
Apartment Haringkade,2584 EC Den Haag (Visserijbuurt),"€1,535",85 m²,2
House Groot Hertoginnelaan,2517 EL Den Haag (Sweelinckplein en omgeving),€745,28 m²,2
House Bennekomstraat,2573 RG Den Haag (Oostbroek-Noord),"€1,080",67 m²,3
House Hugo de Vries-serre,3823 DM Amersfoort (Wintertuinen),"€1,195",93 m²,3
Apartment Blaeu Erf 7 A2,1012 PZ Amsterdam (Burgwallen-Nieuwe Zijde),"€1,500",50 m²,2
Apartment Wolphaertsbocht,3081 KM Rotterdam (Tarwewijk),€940,50 m²,2
Apartment Albert Cuypstraat,1072 CK Amsterdam (Oude Pijp),"€2,100",95 m²,3
Apartment Gelrestraat,1079 MZ Amsterdam (Scheldebuurt),"€1,625",55 m²,2
Apartment Kleine Houtstraat 122 B,2011 DS Haarlem (Heiliglanden),"€1,450",60 m²,4
Apartment Raadhuisstraat,7511 HK Enschede (City),€800,35 m²,2
House Cerberusstraat,5243 XA Rosmalen (Hondsberg),"€1,450",124 m²,6
House Luijbenstraat,5211 BT Den Bosch (Het Zand),"€1,995",160 m²,5
Apartment Jonker Fransstraat,3031 AX Rotterdam (Rubroek),"€1,800",66 m²,3
Apartment Hudsonstraat,3025 CE Rotterdam (Bospolder),"€1,495",60 m²,2
House Zandbloem,5658 BH Eindhoven (Zandrijk),"€2,100",190 m²,6
Apartment Pancratiusstraat 9 A,6411 KB Heerlen (Heerlen-Centrum),€625,45 m²,2
Apartment Hoogstraat 37 A,9671 GR Winschoten (Winschoten-Centrum),€750,60 m²,3
Apartment Trans,"3512 JJ Utrecht (Domplein, Neude, Janskerkhof)","€1,250",41 m²,2
House Griegstraat,2901 JW Capelle aan den IJssel (Bizetbuurt),"€1,450",105 m²,4
Apartment Antonlaan,3701 VG Zeist (Carré),"€1,295",58 m²,1
Apartment Antonlaan,3701 VG Zeist (Carré),"€1,295",57 m²,1
Apartment Oude Maasstraat,6229 BC Maastricht (Heugem),€725,45 m²,2
Apartment Troelstrastraat,3038 KT Rotterdam (Bergpolder),"€1,100",52 m²,3
House Brouwersgracht,1013 HA Amsterdam (Grachtengordel-West),"€2,250",82 m²,3
Apartment Douwelerwetering,7417 TT Deventer (Deltabuurt),€760,80 m²,4
Apartment Groenhazengracht,2311 VT Leiden (Academiewijk),"€1,835",90 m²,4
Apartment Goudsewagenstraat,3011 RK Rotterdam (Stadsdriehoek),"€1,275",40 m²,2
Apartment Agniesestraat 128 B,3032 TS Rotterdam (Agniesebuurt),"€1,315",81 m²,3
Apartment Oude Molstraat,2513 BB Den Haag (Kortenbos),"€1,100",55 m²,1
Apartment Oude Molstraat,2513 BB Den Haag (Kortenbos),"€1,250",65 m²,2
Apartment Vlietwijck 44,2271 EW Voorburg (Voorburg Oud noord),"€1,000",72 m²,3
Apartment François Maelsonstraat 4,2582 KC Den Haag (Statenkwartier),"€2,750",124 m²,4
Apartment Trompstraat,8023 TN Zwolle (Wipstrik-Zuid),€595,34 m²,2
House Wildertkade 1,2935 CM Ouderkerk aan den IJssel (Verspr. huizen Ouderkerk Noord),€850,62 m²,4
Apartment Kruserbrink,7772 XK Hardenberg (Overig Stad Hardenberg),€375,80 m²,3
Apartment Pleinweg,3081 JJ Rotterdam (Tarwewijk),"€1,195",60 m²,2
House Cornelis van Uitgeeststraat,1508 EG Zaandam (Boerejonkerbuurt),"€2,895",178 m²,5
Apartment Makassarhof,1335 HV Almere (Indischebuurt),"€1,200",56 m²,3
Apartment Frans Halsstraat 3 C,2021 EG Haarlem (Frans Halsbuurt),"€1,550",70 m²,3
Apartment Mignot en De Blockplein,5611 CG Eindhoven (Binnenstad),"€1,750",92 m²,3
