Title,Location,Price,Area m�,Number of rooms,Price/m�
Apartment Witte de Withstraat,2518 CR Den Haag (Zeeheldenkwartier),"1,250",83,3,15.1
Apartment Porporastraat,8031 HS Zwolle (Holtenbroek II),"1,090",55,2,19.8
Apartment De Wittenstraat,1052 AT Amsterdam (Staatsliedenbuurt),"1,450",45,2,32.2
Apartment Wageningseberg 16,3524 LR Utrecht (Lunetten-Noord),"1,395",70,3,19.9
Room Meester Ulrichweg,6214 PW Maastricht (Mariaberg),339,14,2,24.2
House Meerssenerweg,6224 AL Maastricht (Wyckerpoort),595,34,2,17.5
Apartment Hoge Filterweg 94,3063 KB Rotterdam (De Esch),955,85,3,11.2
Apartment Hebronstraat,3061 KD Rotterdam (Kralingen West),"1,495",70,3,21.4
Apartment Meer en Vaart,1068 ZZ Amsterdam (Osdorp-Oost),"1,950",104,3,18.8
House Pr Hendriklaan,3958 XM Amerongen (Amerongen-Dorp),"1,350",102,5,13.2
Apartment Pieter Cornelisz. Hooftstraat 90,1071 CC Amsterdam (Museumkwartier),"2,800",105,2,26.7
Apartment Kopenhagenstraat 2,1334 CA Almere (Centrum Almere Buiten),"1,350",45,2,30.0
Studio Boschdijk 157,5612 HB Eindhoven (Limbeek-Noord),905,26,1,34.8
Apartment Admiraal De Ruijterweg,1055 NA Amsterdam (Landlust),"2,750",100,5,27.5
Apartment Thomsonstraat,1171 ZA Badhoevedorp (Badhoevedorp Noordwest),"1,300",58,2,22.4
Room Galileastraat 12 kamer 1,6222 CG Maastricht (Limmel),400,14,1,28.6
House Abrikozenplein 4,2292 BK Wateringen (Essellanden),"1,995",130,5,15.3
Apartment Middellandplein,3021 BW Rotterdam (Middelland),"1,495",68,3,22.0
Apartment Helmersstraat,2513 RZ Den Haag (Zeeheldenkwartier),"1,150",55,3,20.9
Apartment Bestevâerstraat,1055 TN Amsterdam (Landlust),"1,750",60,3,29.2
Apartment Vechtstraat,1079 JR Amsterdam (Rijnbuurt),"1,850",55,3,33.6
House 2e Schuytstraat,2517 TS Den Haag (Sweelinckplein en omgeving),"1,017",37,2,27.5
Apartment Bronckhorststraat,1071 WR Amsterdam (Museumkwartier),"2,200",100,4,22.0
Studio Vestestraat,2312 SV Leiden (Pancras-Oost),825,32,1,25.8
Apartment Statenlaan,2582 GH Den Haag (Statenkwartier),"1,195",41,2,29.1
Apartment Bilderdijkkade 42 A-1,1053 VE Amsterdam (Kinkerbuurt),"1,800",67,3,26.9
Apartment Statenlaan,2582 GH Den Haag (Statenkwartier),"1,025",41,2,25.0
Studio Markt,6211 CL Maastricht (Binnenstad),925,37,2,25.0
Apartment Eerste Constantijn Huygensstraat,1054 BR Amsterdam (Helmersbuurt),"2,000",60,2,33.3
